"Fecha","Valor"
"2007-12-01",4.99
"2008-06-01",5.22
"2008-12-01",5.95
"2009-12-01",6.47
"2010-06-01",6.2
"2010-12-01",5.01
"2011-06-01",5.02
"2011-12-01",4.2
"2012-06-01",4.11
"2012-12-01",4.12
"2013-06-01",3.91
"2013-12-01",4.15
"2014-03-01",4.85
"2014-06-01",4.65
"2014-09-01",3.89
"2014-12-01",3.8
"2015-03-01",3.83
"2015-06-01",4.46
"2015-09-01",4.28
"2015-12-01",4.77
"2016-03-01",5.71
"2016-06-01",5.32
"2016-09-01",5.2
"2016-12-01",5.21
"2017-03-01",4.39
"2017-06-01",4.49
"2017-09-01",4.13
"2017-12-01",4.62
"2018-03-01",4.43
"2018-06-01",4.13
"2018-09-01",4.02
"2018-12-01",3.68
"2019-03-01",4.6
"2019-06-01",4.44
"2019-09-01",4.85
"2019-12-01",3.84
"2020-09-01",6.15
"2020-10-01",5.76
"2020-11-01",5.64
"2020-12-01",4.9
"2021-01-01",5.33
"2021-02-01",5.42
"2021-03-01",4.87
"2021-04-01",5.11
"2021-05-01",6.32
"2021-06-01",5.12
"2021-07-01",5.15
"2021-08-01",4.85
"2021-09-01",4.86
"2021-10-01",4.57
"2021-11-01",4.41
"2021-12-01",4.14
"2022-01-01",5.39
"2022-02-01",4.33
"2022-03-01",4.78
"2022-04-01",4.68
"2022-05-01",3.68
"2022-06-01",4.04
"2022-07-01",3.87
"2022-08-01",4.02
"2022-09-01",4.07
"2022-10-01",4.08
"2022-11-01",3.79
"2022-12-01",3.19
"2023-01-01",3.75
"2023-02-01",3.86
"2023-03-01",3.63
"2023-04-01",4.02
"2023-05-01",3.2
"2023-06-01",3.83
"2023-07-01",3.7
"2023-08-01",3.47
"2023-09-01",3.67
"2023-10-01",3.56
"2023-11-01",3.45
"2023-12-01",3.38
"2024-01-01",3.92
"2024-02-01",4.23
"2024-03-01",3.76
"2024-04-01",3.38
"2024-05-01",3.54
"2024-06-01",3.13
"2024-07-01",3.72
"2024-08-01",3.99
"2024-09-01",3.69
"2024-10-01",3.53
"2024-11-01",3.73
"2024-12-01",2.68
"2025-01-01",3.81
"2025-02-01",3.45
